team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Luka Modric,1,12,55,Center,88.5,24.0,90.1,24.1,1.7,0.0,0
Leganés,Iván Cuéllar,1,13,31,Center,22.2,89.0,72.6,25.9,68.1,5.6,0
Real Madrid,Casemiro,1,13,36,Back,29.6,72.0,37.5,95.7,18.1,1.1,1
Real Madrid,Marcelo,1,13,38,Back,38.6,96.3,41.3,92.0,4.1,5.5,1
Real Madrid,Marco Asensio,1,13,41,Back,43.7,92.6,38.0,96.9,6.7,2.7,1
Real Madrid,Marcelo,1,13,43,Back,34.9,96.3,25.1,80.5,14.9,3.9,1
Real Madrid,Sergio Ramos,1,13,46,Back,25.2,73.2,26.2,22.2,34.7,4.7,1
Real Madrid,Daniel Carvajal,1,13,49,Back,26.7,19.4,39.4,4.3,16.8,5.6,1
Real Madrid,Gareth Bale,1,13,56,Back,54.2,2.8,29.3,38.8,35.8,2.4,1
Real Madrid,Raphael Varane,1,13,59,Back,29.1,39.1,31.8,75.0,24.6,1.5,1
Real Madrid,Sergio Ramos,1,14,5,Left,41.6,82.1,53.1,97.7,16.1,0.7,1
Real Madrid,Marcelo,1,14,8,Left,53.5,97.7,52.9,85.6,8.3,4.6,1
Real Madrid,Toni Kroos,1,14,9,Left,53.7,86.2,53.6,98.1,8.1,1.6,1
Real Madrid,Marcelo,1,14,10,Back,53.6,98.1,45.1,86.2,12.0,3.9,1
Real Madrid,Sergio Ramos,1,14,13,Center,46.0,79.3,100.0,21.5,70.0,5.7,0
Leganés,Iván Cuéllar,1,14,43,Left,5.1,56.7,50.1,100.0,56.2,0.6,0
Real Madrid,Daniel Carvajal,1,14,52,Back,52.0,0.0,33.9,43.9,36.4,2.1,1
Real Madrid,Sergio Ramos,1,14,56,Back,35.1,40.7,43.9,66.7,19.9,1.1,1
Real Madrid,Marcelo,1,14,58,Left,43.1,71.7,55.5,96.6,21.4,0.9,1
Real Madrid,Marco Asensio,1,15,2,Left,61.5,96.2,56.1,90.9,6.7,3.7,1
Real Madrid,Marcelo,1,15,5,Back,55.9,84.2,46.4,65.8,16.0,4.0,1
Real Madrid,Sergio Ramos,1,15,7,Back,46.0,63.9,46.2,33.3,20.8,4.7,1
Real Madrid,Raphael Varane,1,15,12,Right,55.1,18.3,55.9,4.9,9.2,4.8,1
Real Madrid,Daniel Carvajal,1,15,14,Back,54.4,7.4,37.0,21.2,20.5,2.7,1
Real Madrid,Raphael Varane,1,15,16,Back,37.0,21.2,37.7,66.3,30.7,1.5,1
Real Madrid,Sergio Ramos,1,15,19,Back,37.7,66.6,45.1,82.0,13.0,0.9,1
Real Madrid,Sergio Ramos,1,15,33,Left,47.7,75.0,60.0,92.9,17.7,0.8,1
Real Madrid,Marcelo,1,15,35,Left,63.0,95.0,51.8,93.3,11.8,3.2,1
Real Madrid,Sergio Ramos,1,15,37,Back,46.9,88.9,47.8,42.5,31.6,4.7,1
Real Madrid,Luka Modric,1,15,41,Right,47.8,42.5,61.8,8.3,27.5,5.3,1
Real Madrid,Daniel Carvajal,1,15,45,Right,76.2,13.1,75.6,18.8,3.9,1.7,1
Real Madrid,Karim Benzema,1,15,47,Center,75.9,16.5,77.7,22.2,4.3,1.1,1
Real Madrid,Gareth Bale,1,15,50,Left,74.4,25.2,64.6,94.1,48.0,1.8,1
Real Madrid,Marcelo,1,15,52,Left,65.4,93.6,82.1,97.2,17.7,0.1,1
Real Madrid,Marco Asensio,1,15,54,Left,84.5,97.2,77.4,91.1,8.5,3.6,1
Real Madrid,Marcelo,1,15,57,Center,73.3,83.6,66.4,71.2,11.1,4.0,1
Real Madrid,Sergio Ramos,1,16,0,Center,68.5,63.5,94.6,32.4,34.6,5.6,1
